번호,LMS번호,TLP번호,학년,과정,Self_Efficacy,Math_efficacy,내재조절2,확인조절2,부과조절2,외재조절2,RAI2,숙달접근,수행접근,수행회피,숙달회피,수학흥미,주의집중,능동적학습,총점,수학학습전략,인지전략,메타인지전략,총전략점수,정서불안,인지불안,관계불안,일반불안,총불안,부모관계긍정,부모관계부정,전체관계,학원의존
472,10475,19744,6,1,5.56,5.22,5.57,4.75,3.83,1,-10.06,5.5,3.75,1.6,1.2,5.11,5.4,5.6,5.37,5,3.83,4.4,4.41,1,2.2,1,1,1.3,4.25,1.6,4.83,2.14
361,8235,23155,4,1,5.33,5.89,5.29,4,1.17,1,-11.4,6,1,1.2,1.6,5.78,5.4,4.4,5.19,5.17,4.17,4.8,4.71,1,1,1,1,1,3,1,4.5,1.57
84,3726,7440,4,1,4,3.67,2.57,4,4.33,2,-0.81,2.5,3.75,3.2,3.6,1,3,2.6,2.2,2.33,2.17,2.2,2.23,5.8,5,3.6,5,4.85,3.5,4.6,2.95,4.14
514,10842,23873,6,1,3.78,3.56,5,4.25,3.33,1.33,-8.25,4.83,3.5,4,2.2,4.11,3.6,3.2,3.64,3.67,1.83,1.4,2.3,3.4,4.2,3.2,3.6,3.6,2.25,4,2.63,3.86
75,3683,7419,4,1,3.33,3.11,2.43,3.25,2.33,2.33,-1.11,2.5,2,2.4,3,3.22,2.8,3,3.01,3,2.33,2.6,2.64,2.2,2.8,2.8,1.6,2.35,2.75,3,3.38,1.71
79,3687,7386,3,1,5.89,5.33,4.29,5,1,1,-10.57,4.5,1,1.2,2,2.44,4,3.4,3.28,3.33,4.33,3.4,3.69,1,1.4,1,1,1.1,5.75,1,5.88,2.29
93,3742,9106,6,1,3.22,3.89,2.43,2.75,4,3.67,3.73,2.17,4.25,5,3,4.67,4.2,4,4.29,2.67,5,2.4,3.36,5.8,1.4,3.2,2.6,3.25,5,3.2,4.4,2.71
242,6292,21517,6,1,3.22,4.67,4.86,5,4.5,2.67,-4.88,4.83,4,1.6,3.6,4.11,4.4,4.2,4.24,4.67,5.17,4.8,4.88,3.6,4.6,3.6,3.8,3.9,5,1.8,5.1,3.57
619,12692,19937,5,1,4.56,4,3.43,4.75,1.83,1,-7.77,3.5,1,2.2,2.6,3.44,3.2,3.6,3.41,4.17,3.17,3.6,3.64,2.4,2.8,1.4,2.4,2.25,3.5,3,3.75,2.71
72,3680,7423,5,1,3.78,3.33,4,5.5,4.5,2.67,-3.67,4,4.25,5,4.4,4.33,4,3.2,3.84,3.33,3.83,2.8,3.32,2,1,2.6,1.4,1.75,2.75,3.6,3.08,3
77,3685,7411,3,1,4.78,4.78,6,6,2,1,-14,6,1.25,4.8,2,3.33,3.2,1.6,2.71,2,2,2,2,1.8,6,2.2,2,3,1,1,3.5,2.14
78,3686,7413,3,1,5.56,5.56,5.14,5,4.5,2.33,-6.12,5.17,3.75,1.2,1.8,5,4.6,4.4,4.67,4.83,4.67,4.4,4.63,1.4,3,2.2,2,2.15,4,2.2,4.4,2
399,9221,23330,6,1,4.89,5,4.86,6,4.33,1,-9.38,4.83,4,3.6,2.8,3.33,4.6,2,3.31,4.67,5,3.8,4.49,1,4,1.8,3.2,2.5,6,1.6,5.7,1.86
421,9499,23586,4,1,4.11,4.89,4.86,5,2.83,1.67,-8.55,4.83,2.75,1.2,2.4,5.44,5,4.6,5.01,3.67,3.67,3.8,3.71,1.8,1,1.6,1.4,1.45,2.5,1.2,4.15,2.86
647,13373,16397,3,1,4.56,3.67,4.43,4,1.83,1,-9.02,4.33,1.25,1.6,2.4,4.78,3.2,4.2,4.06,2.67,3.33,2.4,2.8,1,1,1.6,2.2,1.45,3,1.4,4.3,1.57
