번호,LMS번호,TLP번호,학년,과정,Self_Efficacy,Math_efficacy,내재조절2,확인조절2,부과조절2,외재조절2,RAI2,숙달접근,수행접근,수행회피,숙달회피,수학흥미,주의집중,능동적학습,총점,수학학습전략,인지전략,메타인지전략,총전략점수,정서불안,인지불안,관계불안,일반불안,총불안,부모관계긍정,부모관계부정,전체관계,학원의존
278,6948,21911,8,2,4.44,4.22,4.29,4.25,2.67,2,-6.15,4.5,2.5,2.4,3.2,4.11,4,3.2,3.77,4,3.17,3.6,3.59,2.6,1.4,1.2,1,1.55,4.5,2.8,4.35,2.43
279,6949,22072,9,2,4.56,4.56,4.71,5.25,3.67,1,-9.01,5,3.75,1.8,2.2,4.22,5.4,4.6,4.74,3.17,3.33,4.8,3.77,3.4,3.8,1.6,3.6,3.1,5.75,2.2,5.28,3.14
513,10840,24203,9,2,4.11,4.33,4.43,5,4.5,3.33,-2.69,4.33,4.25,3.4,3.6,4.11,4,3.2,3.77,3.83,3.67,3.4,3.63,4.6,3.6,3.6,3,3.7,5,2.4,4.8,2.86
516,10867,24058,7,2,5.22,5.11,4.29,5,4.33,3,-3.24,4.33,4,1.6,2.2,3.67,4.6,4.4,4.22,4.83,4.5,3.8,4.38,1.8,2.8,3,2.4,2.5,5.5,1.6,5.45,2.43
691,14344,30066,9,2,3.78,3.44,3.29,3,2.17,2,-3.4,3.33,2,2,3.2,2.33,3.2,3.2,2.91,3.83,3.33,3.4,3.52,1.2,2.8,2.6,2,2.15,4,2.4,4.3,2.43
761,16257,31943,8,2,4.67,3.78,4.29,5,1.17,1,-10.4,4.33,1,2.8,1.4,3.11,4.2,4.6,3.97,4.83,3.5,4.2,4.18,1,1.8,1,1,1.2,2.75,3,3.38,3.14
178,4994,22098,9,2,3,3.56,3.43,4.25,2,2.33,-4.44,3.5,1.5,3.2,3.2,3.89,3.2,3.2,3.43,3.33,3,3.4,3.24,4.4,4.4,2.4,4.4,3.9,3,4.2,2.9,3
523,10981,24263,7,2,4.89,4.22,3.57,4.25,1.83,1,-7.56,3.5,2,2.4,1.6,4.22,4.4,3,3.87,4.17,3.33,3.6,3.7,2.4,2.6,1.6,1,1.9,6,1.4,5.8,2.14
43,3150,1600,9,2,5,4.33,4.43,5.25,3.67,2,-6.44,4.5,3.25,2.4,2.2,4.22,4,4.4,4.21,4,4,4.8,4.27,3.4,3.6,3.6,1.8,3.1,4.75,2.4,4.68,1.57
430,9598,23626,9,2,3.44,3.11,4.57,5.5,3.17,2.67,-6.14,4.67,2.5,2.4,2,2,2.8,2.4,2.4,3.67,3.5,3.4,3.52,5,5.2,3.2,3.8,4.3,2,4.2,2.4,2
709,14884,31528,8,2,3.89,3.78,3.14,4.5,2.83,1,-5.95,3.17,2.25,6,4.6,3.44,3.8,4.2,3.81,4.33,3.83,4.2,4.12,3.6,3,1,1.2,2.2,6,1.4,5.8,2.29
548,11288,24463,9,2,3.67,3.56,3.29,4.25,2.17,1.33,-5.99,3.33,2,2,3.2,2.89,3.2,3,3.03,3.83,3.17,3.6,3.53,2.4,3.8,1.2,2.8,2.55,4.25,3.2,4.03,2.29
549,11289,24464,9,2,3.44,4,4,4,3.17,3.33,-2.17,4,3,3,3.2,3.56,4,3.6,3.72,4,3.17,3.4,3.52,3,3,3.2,3.8,3.25,4,2.8,4.1,3.14
297,7469,22228,7,2,5,4.67,3.86,5.25,2.33,1,-8.63,3.67,2.5,2.6,2.8,3.56,4.2,4.2,3.99,4.5,3.33,3.4,3.74,3.8,4,2.8,3.6,3.55,4.5,2.6,4.45,3.14
571,11816,24765,7,2,4.67,4.89,5.43,5.75,4,1,-10.61,5.33,4.25,1.6,2.2,4.78,3.6,4.8,4.39,4.67,3.83,4.4,4.3,2.2,3.4,1.2,2.4,2.3,5,2.6,4.7,2.29
674,13988,27687,7,2,4.67,5.11,3.86,5.75,5.67,2.33,-3.13,4,6,3.4,3.6,2.44,4,4.6,3.68,4.67,4,4.2,4.29,3,4.2,2.4,4.2,3.45,4.5,2.6,4.45,2.57
369,8467,23598,7,2,3.44,4.11,4.29,4.75,2.33,3,-4.99,4.33,1.75,3.8,3.2,1.56,3,4,2.85,4.33,2.83,2.4,3.19,2.2,3.4,3.2,3.4,3.05,4,2,4.5,2.86
489,10601,24051,7,2,4.44,4.78,4.29,5,4,1.67,-6.24,4.17,4,2.4,2.8,4.67,4,3.6,4.09,4.67,4,3.6,4.09,3.4,3.8,3,4.2,3.6,5,2.4,4.8,3.43
511,10818,24190,7,2,5.11,4.44,4.86,5.25,2.67,1,-10.3,5,2.5,1,2.4,4.33,4.2,4,4.18,3.83,3.67,3.4,3.63,1.8,2.6,1,1.6,1.75,4.25,1.6,4.83,2.14
547,11263,24462,7,2,4.44,4.44,4.71,5,2.83,1,-9.6,4.67,2.75,1.2,2.4,5.44,4.4,5,4.95,4.33,4.33,4.4,4.36,2.6,2.4,1.4,1.8,2.05,6,2.8,5.1,2.43
714,14983,24218,7,2,4.11,4.33,4.57,3.75,2.83,1.33,-7.39,4.5,2.75,2.8,3.6,3.67,4.8,4.2,4.22,4.17,4.5,3.4,4.02,2.6,3.8,1.4,2.8,2.65,3.75,3.2,3.78,1.86
744,15751,31978,8,2,4.89,4.56,4.57,5.5,4.33,1.67,-6.98,4.67,4.75,2,2,4.11,4.6,4.6,4.44,4.17,4.17,3.2,3.84,1,1.2,2.6,2.2,1.75,2.75,3.4,3.18,4
777,16532,32867,8,2,3.89,2.67,3.57,5.25,2.83,1,-7.56,3.67,3,3.4,3.2,3.11,4.4,2.6,3.37,3.17,2.67,2.6,2.81,3.2,3.8,2.8,2,2.95,3,2.4,3.8,2.86
291,7257,22238,8,2,3.56,3,2.86,4,1,3,-2.71,3,1,1.6,3.8,1.78,2,1.8,1.86,3.17,3.17,1.6,2.64,3.6,2.4,1,3,2.5,3.75,2.6,4.08,1
354,8143,23088,7,2,3.44,2,2.43,3.5,2.33,2,-2.02,2.33,2.25,4.2,4,1.78,3,1.6,2.13,2.33,2.67,2,2.33,2.8,3.2,2.4,2.6,2.75,5.25,2.2,5.03,3.57
659,13679,29839,8,2,1.89,2.44,4,5,5.33,3.33,-1,4.17,5,5.6,3.2,1,1.8,1,1.27,2.17,2.33,2,2.17,6,6,4.4,6,5.6,2.25,5.8,1.73,4.14
757,16088,32131,9,2,2.44,2.11,2,4.25,4.5,2,0.25,2.17,4.75,5,4.6,1.11,3.2,2.2,2.17,4,2.83,4.4,3.74,4.6,4.6,2,4.6,3.95,5.75,2,5.38,2.57
482,10542,16402,7,2,3.33,3.67,3.43,5.25,4.33,3.67,-0.44,3.5,4,4,3.2,3.56,4,3.6,3.72,4.17,4,3.2,3.79,3.2,5,4.4,3.6,4.05,3.25,4.6,2.83,3.29
719,15163,31731,9,2,3.67,3.22,4.86,5,3.83,1.33,-8.21,4.83,3.75,4.6,2.8,3.11,3.4,3,3.17,3.5,3.33,3.4,3.41,3.6,4,3.8,3.8,3.8,4.5,2.8,4.35,2.57
99,3802,22313,8,2,4.11,3.67,3.71,5,3.17,2,-5.26,3.67,3,4,3.2,2.33,3.4,2.6,2.78,3.17,3.33,2.6,3.03,2.2,2.6,2.6,2.8,2.55,3.25,3.6,3.33,3
392,9117,24215,7,2,3.67,3.56,3.86,5,3.67,3.67,-1.71,3.83,3.5,2,3.4,3.67,3.8,3.4,3.62,3.67,3.33,3.4,3.47,1.6,3.4,2.2,1.6,2.2,3,2,4,2.57
584,11985,24886,7,2,3.22,2.44,4.14,4.75,3.83,2,-5.2,4.17,3.75,3.4,3,2,2.6,2.2,2.27,2.5,2.5,2.2,2.4,4.4,4,3.2,2.6,3.55,5.25,1.8,5.23,3.14
649,13444,27643,7,2,3,3.56,3.14,5,4.83,1.33,-3.79,2.83,4.75,6,3,2,3.8,2,2.6,4,4.17,4.2,4.12,2.2,3.8,4,4.2,3.55,6,2,5.5,3.43
60,3454,7592,9,2,4.78,4.67,4.57,3.5,3.83,1.33,-6.14,4.33,3.5,3.8,2.8,4.11,5.2,4.2,4.5,3.83,3.67,5,4.17,1.2,1.4,1.2,1,1.2,2,2,3.5,2.86
201,5747,10789,8,2,5.44,4.33,5.86,5.25,1.17,2,-11.8,5.83,1,1.2,1,4.89,5,5,4.96,5.17,4.33,4.2,4.57,4.8,4,2,5.2,4,3.25,1.8,4.23,2.43
303,7483,11988,9,2,5.56,5.22,4,6,2.83,1,-9.17,3.83,2.5,2.4,2.2,3.89,5.8,3.6,4.43,5.5,4.83,5.2,5.18,1,2.2,2.4,1,1.65,5.75,1.6,5.58,2.43
330,7836,22603,7,2,5.22,5.56,4.57,5.75,4.17,1,-8.73,4.67,4.5,1,1.4,5.22,6,5.2,5.47,4.83,5.67,5.6,5.37,1,1.2,1,1,1.05,5.75,1,5.88,2.43
763,16289,32545,7,2,3.78,3.56,3.29,5,4.33,1.67,-3.9,3.33,4,3.6,3.4,1.22,2.4,2.4,2.01,3.33,2.67,2.6,2.87,3,4.6,4.2,3.4,3.8,4.75,2,4.88,3.43
568,11699,18576,9,2,3.89,3.89,3.14,4,2.17,3,-2.12,3.17,1.5,2.2,2.6,3.56,4,2.6,3.39,3.67,2,1.4,2.36,1.2,2.8,2,1.2,1.8,2.75,3,3.38,2.71
391,9106,24216,8,2,4.56,4.33,4.14,5.25,3.5,2,-6.04,4.17,3.75,2.2,3,2,4,3.4,3.13,4,3.83,4,3.94,3.6,3.2,1.8,3,2.9,5,1.8,5.1,2.43
16,2539,130,8,2,3,2.22,1.29,4,1.17,4.33,3.26,1.17,1.25,5,4.2,1.22,2.8,1.6,1.87,3.17,2.67,2.6,2.81,1,1,2.2,1,1.3,2.25,5.8,1.73,2.29
2,944,3737,7,2,3.89,3.44,3.14,4.75,4.33,2.33,-2.04,3.33,4.5,2.8,1.8,2.33,4.2,3,3.18,3.5,3,3.6,3.37,1.2,3.4,4.8,1.6,2.75,3.5,2.2,4.15,2.86
450,10231,7651,7,2,4.22,3.67,4.71,5,4.83,2.67,-4.26,5,4.5,1.4,3,4.22,4.4,3.2,3.94,4,2.67,4,3.56,3,4,2.6,3.8,3.35,3.75,2.6,4.08,3
694,14464,30069,7,2,4.67,4,4.29,5.25,4,2.33,-5.15,4.33,4.25,2.8,2.2,4.56,5,3.8,4.45,4.67,4.67,3.6,4.31,2.4,2.8,3.8,2,2.75,3.5,2.2,4.15,4
779,16564,32869,8,2,3.33,3.78,3.14,4.25,3.17,3,-1.37,3.17,2.75,3.2,3,2.22,3.6,3,2.94,3.5,3,3.6,3.37,2.8,3.6,3,3.2,3.15,3,3.2,3.4,3
774,16485,32839,8,2,5.11,4.89,5.14,5,4.17,1.33,-8.45,5.17,4.5,2,2,4.11,4.6,4.6,4.44,3.83,3.67,4.2,3.9,2.6,2.4,2.2,1.4,2.15,4.5,3,4.25,2
339,8079,13091,8,2,3.44,3.44,3.43,5.25,3.17,1,-6.94,3.67,2.5,4.6,3,2,2.6,1.4,2,2.17,3.17,3.2,2.84,3.8,5,4,4.8,4.4,4,4,3.5,4
591,12187,23304,8,2,4.33,4.44,3.29,4.75,2.33,1.33,-6.32,3.33,2,1.2,3,3.22,3.4,3.6,3.41,4.17,2.83,3.6,3.53,1.2,2.2,2,2.4,1.95,4.5,2,4.75,3.43
404,9253,16234,7,2,4.78,5.33,3.57,4.25,2.5,1,-6.89,3.67,2.5,2.6,2.4,3.78,3.4,5,4.06,4.17,4,4.2,4.12,4,3.2,1.4,1.6,2.55,5,2.4,4.8,3.14
663,13758,29950,7,2,2.44,2.78,2.14,3.75,1.33,1.67,-3.37,2.17,1,4.8,5.2,1.78,2.8,2.2,2.26,3.33,1.67,2.8,2.6,4.8,4.6,3.6,4.6,4.4,1.75,4.2,2.28,2.29
424,9522,22678,7,2,4.67,3.89,3.71,4.75,2.67,2,-5.51,3.67,2.25,2.8,3.2,4.11,4.6,4.8,4.5,4,3.83,4.2,4.01,2,2,2.2,2,2.05,3.75,2.6,4.08,3.57
781,16627,32870,9,2,4.67,4.22,4,5.25,4.83,1.33,-5.75,4,5,3.6,2.6,2.78,4.2,3.2,3.39,4.83,3.83,4.6,4.42,4.6,4.6,3.2,3.6,4,5.25,1.8,5.23,4.14
365,8367,23603,7,2,3.22,2.44,3.43,5.5,3.67,3,-2.69,3.67,3.75,5,5,1.11,3.2,2.8,2.37,4.33,2.83,4,3.72,5,5.2,5.4,4,4.9,4.25,3.4,3.93,3.86
186,5463,21317,9,2,3.67,4,3.57,5.5,4.33,3,-2.31,3.83,4.75,4,3.6,2.22,3.6,3.2,3.01,4,3.5,3.4,3.63,5,5.2,4.4,2,4.15,3,3.6,3.2,4.71
394,9138,24009,9,2,3.33,3.11,2.71,4.25,3,2.67,-1.35,2.5,3,1.4,3.8,2.67,3.8,2.6,3.02,3.33,2.83,2.8,2.99,2,2,2.8,2,2.2,4.5,2,4.75,2.71
754,16004,32125,8,2,3.78,3.22,3.86,6,1.83,1,-9.88,4.33,1,5,1,2.33,4,3,3.11,5.17,4.83,5,5,5,6,1,6,4.5,6,3,5,3.86
270,6791,22384,9,2,4,4.22,4.14,5.25,4,1.67,-6.2,4.17,3.75,3.4,1.4,2.44,3.6,4.2,3.41,4.5,4.17,4.4,4.36,3,3.6,3.4,1.6,2.9,4.75,2.6,4.58,4.29
708,14883,31527,8,2,4.33,4.22,5.14,5.75,2.5,1,-11.54,5.17,1.75,2,1,2.56,4,4.8,3.79,5.67,4.17,5,4.94,4.4,5.6,2.6,5,4.4,3.75,3.4,3.68,3.14
45,3152,1643,9,2,3.44,3.78,3.43,4,1.67,2.33,-4.52,3.33,1,1.4,3.2,1.67,2.4,3.4,2.49,3.5,4,4.2,3.9,2.6,3.4,3.2,4,3.3,5,3.6,4.2,3.57
210,5786,7518,7,2,4.33,3.78,3.57,5.25,3.17,2,-5.23,3.5,3.25,4,2.6,3.11,4,3.4,3.5,4,3.5,3.6,3.7,1.6,3.6,3.2,2.4,2.7,4.75,2.6,4.58,3
742,15737,32010,8,2,4.44,3.78,3,4.5,3.83,2,-2.67,3,3.25,3.2,2.2,3.56,3.2,3.6,3.45,4,3.5,3.8,3.77,2.6,4.4,4.2,2.8,3.5,3,2.4,3.8,3.14
596,12257,24450,9,2,4.89,5.33,5.57,4.75,3.83,1.33,-9.39,5.5,3.75,1.8,1.8,5,4.4,5.8,5.07,5,4.67,4,4.56,1.8,2,2.4,1.8,2,4.5,3.6,3.95,2
542,11120,17477,7,2,4.44,4.78,4.29,4.25,2.83,3.33,-3.32,4.33,2.25,1.2,2.4,3.44,3.8,4.8,4.01,4.67,4.83,5,4.83,2.4,2.4,1.8,1,1.9,6,1.6,5.7,1.71
244,6376,5972,7,2,5.22,4.78,4.86,5,3.83,2,-6.88,4.83,3.5,3.2,2.8,3.33,3.2,3,3.18,5,4.17,4.2,4.46,1.2,1,2.2,1.2,1.4,4.75,2.6,4.58,1.57
245,6377,21607,7,2,5.11,5.22,4.57,5.5,4.83,2,-5.81,4.67,4.5,2,2.8,3.89,3.6,4.2,3.9,4.33,4,4.4,4.24,2.6,1.8,1.2,1,1.65,4.75,1.2,5.28,3.14
267,6782,21983,9,2,5.33,4.56,4.86,5,3,1,-9.71,5,2,3.4,1.8,5,5.2,4.6,4.93,4.83,4.17,4.6,4.53,3.4,3.2,1.6,4,3.05,3.5,3.2,3.65,2.14
563,11567,19668,9,2,4.33,4.44,3.86,5.25,3.67,2,-5.3,4,3.25,1.8,3,3.78,4.8,4.2,4.26,4.67,4,4.2,4.29,1.8,2.6,1.6,1.4,1.85,3.75,2.4,4.18,2.29
602,12342,25173,8,2,3.89,3,3.14,4,3.17,3,-1.12,3.17,3.25,3.2,3.4,2.33,2.8,2.2,2.44,3.83,2.33,2.4,2.86,2.4,4.4,2.6,3.6,3.25,3.25,3,3.63,1.86
44,3151,1644,9,2,3,2.22,2.57,2.75,3.83,2.67,1.27,2.67,3.75,4.8,3,2,3,2.6,2.53,4,3,3.6,3.53,6,5.2,4.6,5,5.2,4.5,2.8,4.35,3.86
776,16531,32853,7,2,2.56,3.44,4.57,4.75,3.83,3.33,-3.39,4.5,3.5,3.2,3.6,2.56,2.8,2.6,2.65,3.5,2.83,3.8,3.38,2.8,4,3.8,3.2,3.45,4,3.2,3.9,2.86
778,16533,32808,7,2,4.89,3.44,3.14,3.5,2,2,-3.79,3.33,2,2.4,2.4,2.78,3.8,2.8,3.13,3.67,3.5,2.4,3.19,2,2.4,2.4,2,2.2,5,2.2,4.9,3
169,4695,22367,9,2,4.33,4.67,4.71,5.75,1.83,1,-11.35,4.67,1.75,1.2,2.8,4,4.2,3.4,3.87,4,3.5,4.8,4.1,3,4,1,3.4,2.85,5.75,1.6,5.58,3.57
217,5804,7270,8,2,4.11,3.67,4.29,4.5,3.83,2.67,-3.9,4.33,3.75,3.4,3,2.67,3.4,3,3.02,4.67,4,4,4.22,4.4,4.4,4.4,3.4,4.15,4.25,3.2,4.03,2.57
54,3320,5876,9,2,4.89,5.22,4.57,5.25,2.5,1,-9.89,4.67,2,1,1.4,3.78,3.2,3,3.33,4,3.67,3.8,3.82,1,1,1,1,1,5.5,2.4,5.05,2
452,10248,23947,7,2,2.33,2.67,4.14,5,2,1,-9.29,4.17,1.25,4.2,2.4,2.56,3.2,2,2.59,4.33,3,3.2,3.51,1.6,3,2.8,2.8,2.55,5,1.2,5.4,3.29
643,13299,25436,7,2,3.11,2.67,2.57,4.5,2.33,2.33,-2.64,2.67,2,2,2.8,1.33,2,2.4,1.91,3.17,2.5,2.4,2.69,1,2,1.2,1,1.3,2.25,2.2,3.53,2.57
741,15718,31986,8,2,4,4,2.29,4.5,3.67,2.67,-0.07,2.17,3.5,5,4.2,1.89,3.8,3.4,3.03,5,4,3.8,4.27,4.4,3.2,3.2,2.2,3.25,4.25,3.4,3.93,1.71
758,16127,32124,8,2,4.44,4.22,3.71,3.75,3,2,-4.18,3.83,2,2.2,2.6,4.11,4.4,4.4,4.3,3.83,4.17,3.8,3.93,4,3.8,3.2,4.2,3.8,5,2.6,4.7,3
285,7045,22004,8,2,3.67,3.33,4,4.5,4.33,3,-2.17,4.17,3.75,4.8,3.8,3.11,2.8,3.6,3.17,4.5,3.83,4,4.11,5,6,4.4,3.8,4.8,3.75,3.8,3.48,3.29
183,5458,21313,9,2,4.33,4.44,4.86,5.25,3.5,1.67,-8.13,4.83,2.75,2.6,2.4,3.89,5.4,4.4,4.56,4.5,4.33,4.4,4.41,4,3.4,2.8,1.6,2.95,5,2,5,2.43
98,3788,22800,8,2,4.22,4.44,4.43,4.5,3.5,3,-3.86,4.5,2.5,1,2.4,4,3.6,4.6,4.07,4.33,4,4.2,4.18,1.6,2.4,2.2,1.6,1.95,5.75,2.8,4.98,3.14
226,5950,21334,8,2,4.56,4.89,5.43,3.5,3,1,-9.36,5.33,2.25,3.2,1.2,5,5,4,4.67,4.5,3.17,4.8,4.16,2,3.8,2.6,3.2,2.9,5,3.2,4.4,1.71
692,14367,31267,9,2,3.22,2.78,3.14,4.5,3.67,1,-5.12,3.17,3,3.6,2.6,2.78,3.2,2.4,2.79,3.67,3.33,4.4,3.8,1.8,3.2,3.2,2.8,2.75,4.75,2.2,4.78,2.71
553,11320,24856,9,2,2.11,2.78,2.57,4.25,2.83,3.33,0.11,2.67,2.5,4.6,4,2.67,2.2,2,2.29,2.67,2.83,2.2,2.57,2.4,2.4,4.8,3.6,3.3,4,3.8,3.6,4.14
231,6028,22284,7,2,5.67,5.56,5.43,6,3.17,1.33,-11.02,5.5,3,1.8,1.8,4.56,5.4,4.8,4.92,5.17,4.67,4.8,4.88,2.2,1.6,1,1,1.45,6,1,6,2.43
724,15223,31757,8,2,2.56,2.78,1.29,4.75,3.17,1,-2.15,1.33,3.25,2.6,2.8,1.44,4,3.2,2.88,3.33,3.33,4,3.56,6,6,2.8,4.4,4.8,4.25,3,4.13,3.86
382,8633,23098,7,2,3.67,2.78,2.86,3.75,2.5,1.67,-3.63,3,2,2.2,2.6,1.56,2.6,1.6,1.92,3.17,3.5,2.8,3.16,3.2,4.4,3.2,4.2,3.75,2,4.6,2.2,1.43
664,13764,29968,7,2,2.78,2.33,2.29,4.25,2.17,2,-2.65,2.33,2,2,4,1.22,3,2.4,2.21,2.17,2,2.4,2.19,2,2,2,2,2,3,2.2,3.9,3.57
717,15069,31682,8,2,3.22,2.33,2.29,2.25,2.67,2,-0.15,2.33,2.5,1.8,4.6,1.11,2.4,2,1.84,2.5,1.5,1,1.67,2,2,1,1,1.5,1,1,3.5,1
583,11968,24866,8,2,3.56,3.22,3,4,2.67,3.67,0,3,2,1,3.4,2,2.8,3.4,2.73,3.83,2.67,3,3.17,3.2,4.8,2.6,3.6,3.55,3.25,3.6,3.33,3.86
718,15106,31730,9,2,3.33,3.33,3.71,4.5,2.83,1.67,-5.76,3.83,3,3,3,3,3.8,2.2,3,4.33,3.17,3.6,3.7,2,2.4,1,3,2.1,4.75,2.6,4.58,3.14
10,2143,3447,7,2,4.89,4.89,4,3.5,2.33,3,-3.17,4,1.75,2.2,3,3.67,3.4,3.6,3.56,3.67,3.33,3.8,3.6,1.2,2,1.4,1.8,1.6,4.75,2.8,4.48,3.86
751,15858,32090,8,2,4.67,5.11,3.71,6,2,1,-9.43,3.83,1,3.8,2.6,1.89,2.8,3.4,2.7,4.67,3.83,3.4,3.97,1.2,2.4,1.8,2.6,2,4.75,2.6,4.58,2.14
199,5724,7683,8,2,3.22,3.22,3.29,4.5,3.33,1.33,-5.07,3.33,3,4,4,2.11,4.4,2,2.84,3.83,2.67,3.2,3.23,5.2,5,3.8,5,4.75,3.25,2.8,3.73,2.14
403,9240,23352,9,2,3.67,3.78,3.86,4.75,4.17,3,-2.3,4,3.75,4,3.4,3.67,4.2,3.4,3.76,4.67,3.17,3.4,3.74,3.6,4.4,3.4,3.8,3.8,2.75,3.6,3.08,3.14
582,11939,24857,8,2,4.67,4.56,3.86,5,3.67,4,-1.05,4,3,3.8,3.8,2.33,4.4,3.2,3.31,4.67,3.17,4.6,4.14,3.4,3.4,3.8,4,3.65,2.25,5.2,2.03,3
420,9494,23557,8,2,3.67,4.11,3.43,5.25,3.67,4.33,0.23,3.5,3,2.2,4.4,3.78,3,3,3.26,4.67,3,3.8,3.82,1.2,1.4,1,1,1.15,3.5,4.2,3.15,2.57
446,10052,23848,7,2,3.56,2.56,2.57,4.25,2.83,1,-4.56,2.5,2.25,4.6,4.2,2.11,2.6,1.6,2.1,3.5,2.5,2.8,2.93,2.6,3.6,3,2.2,2.85,3.25,2,4.13,2.43
764,16298,32574,8,2,3.22,3.78,5.29,6,4,3,-6.57,5.5,4.25,2.4,3.2,4,3,2.8,3.27,3.67,3.33,3.2,3.4,3.4,5.4,4.8,5.6,4.8,5.25,1.8,5.23,3.14
185,5462,21276,7,2,4.78,4.89,4.57,5,2.33,1,-9.81,4.5,2,1.6,3,4.56,4.6,4,4.39,4.67,3.83,4.2,4.23,1.4,1.4,1.2,1.6,1.4,5,2,5,2.43
289,7227,22213,7,2,3.89,4.22,4.14,5,2.33,1,-8.95,4.33,1.75,3.2,2.4,3.78,4.2,3.6,3.86,4.5,2.67,4.2,3.79,2.2,3,1.4,2.8,2.35,2.75,3.8,2.98,3.71
368,8372,23605,8,2,2.67,2.44,1.43,2.25,1.5,1.33,-0.94,1.5,1.5,2.6,3.6,1.78,3.6,1.8,2.39,3.67,2.83,2.6,3.03,1.8,2.8,1.2,1.8,1.9,4.75,2.2,4.78,3
617,12613,25254,8,2,5.11,4.56,4.43,5.5,3,1,-9.36,4.33,2.5,2.8,3,3.89,4.8,3,3.9,4.17,3.67,3.2,3.68,1.4,1.4,2,1.6,1.6,5.25,1.2,5.53,3.29
560,11425,24585,8,2,5.44,4.33,4.86,6,4.83,1,-8.88,4.83,4.25,1.8,2.2,2.44,4.6,4.4,3.81,5.67,4.67,4,4.78,3,3.4,2.2,1,2.4,5.75,1.2,5.78,2.43
367,8371,23542,8,2,3.78,3.11,1.86,2.5,1.67,2,-0.55,2,1,2.2,4.2,2,3,3,2.67,3,2.33,3.2,2.84,1,1.2,1.6,1.4,1.3,1.25,4.6,1.83,2.14
539,11102,24315,7,2,5.11,4.44,4.14,4.25,3,3,-3.54,4,3,3.8,3,4.11,4.4,2.8,3.77,4.17,3.33,2.8,3.43,1.2,2.6,3.4,2,2.3,3,3.8,3.1,3.57
525,11023,24329,7,2,3.78,3.78,2.86,3.5,3.33,3.67,1.45,2.83,3,3.4,3.4,4,3.4,2.4,3.27,3,3.17,2.8,2.99,2.6,3,2.8,3.2,2.9,1.75,4.2,2.28,2.57
53,3311,3705,9,2,2.78,2.78,3.43,3.25,3.83,3.67,1.06,3.5,3.75,3.6,3.4,2,3.4,2.8,2.73,4,2.67,3,3.22,2.4,3.4,3.6,3.2,3.15,3.75,4,3.38,4
198,5723,9164,7,2,3.89,4,4.57,5,2.5,1.67,-8.31,4.5,2,1.2,2.2,3.44,3.4,4.4,3.75,3.67,3.83,4,3.83,3.8,3.8,2.4,4.2,3.55,6,2,5.5,3.43
765,16299,32575,7,2,3.44,4.22,4.29,5,3,2,-6.57,4.33,2.25,3.6,2.8,3.33,3.4,2.8,3.18,4.67,3.67,4.2,4.18,2.6,3.4,3,3,3,2.5,3.4,3.05,2.14
722,15205,31804,7,2,4.44,3.89,4.14,6,3.83,1.33,-7.79,4.17,3.75,3.6,1.8,2,4.6,2.6,3.07,3.5,3.5,2,3,2,4.4,2.8,2.2,2.85,5.25,1.4,5.43,3.71
684,14144,31130,7,2,5,5.11,5.14,5.5,2.33,1,-11.45,5.17,2,2.2,2,4.22,4.6,3.8,4.21,5,4.67,4.6,4.76,2,3.6,1.4,1.4,2.1,5.25,1.4,5.43,2
531,11044,23998,7,2,4.56,3.56,2.14,4.25,3.67,2.33,-0.2,2,3.5,2.2,2.8,2.89,3.2,3.4,3.16,3.5,3.33,2.8,3.21,3.4,3.8,3.6,3.6,3.6,3.5,3,3.75,3.43
519,10904,22888,8,2,4.89,4.67,4.71,3.25,1.83,2.33,-6.18,4.67,2,2,2,3.67,4.4,3,3.69,3.83,3.17,3.4,3.47,1.2,1.2,1.2,1,1.15,2,3.2,2.9,1.86
601,12341,25090,7,2,2.67,3.56,4.71,5,4.67,5.33,0.9,4.83,4.5,5,4.4,4.11,3,2,3.04,3.67,2,3.4,3.02,3.4,5.8,5.8,5,5,2.25,4.8,2.23,2.71
580,11884,24477,7,2,5.11,4.78,4.57,5,3.5,2,-6.64,4.5,3.5,2.2,2.8,4.33,4.2,4.4,4.31,4.17,3.67,4.2,4.01,2.2,2,2,2.2,2.1,5,2.2,4.9,3
498,10754,22219,9,2,2.56,1.89,1.86,2,2,2,0.29,1.83,2,3.4,4,2.22,2.8,2.6,2.54,2,2,2,2,2.4,2.4,2.2,3.2,2.55,2.5,3.8,2.85,2.14
220,5868,22621,8,2,4,3.56,2.71,3.75,2.17,1.67,-3.68,2.67,2,3,3.8,3.33,4.2,3.4,3.64,3.83,2.83,3.4,3.36,2.2,2.8,1.8,1.8,2.15,3.25,2.8,3.73,3.14
604,12453,25150,8,2,3.67,4.11,3.43,4,3.67,1.67,-3.86,3.5,3.5,3.2,3.4,3.78,4.6,2.8,3.73,3.83,3.17,2.8,3.27,4,4.6,4.2,3.6,4.1,3,3.8,3.1,3.14
760,16213,32317,8,2,4.22,4.56,3,5,4.33,2.67,-1.33,3.17,4.25,4.2,3.8,2.56,4.4,4,3.65,4.33,4.33,3.8,4.16,3,3.2,2.8,2.4,2.85,5,2,5,2.71
52,3271,3187,9,2,4.67,5,2.71,2.75,2.67,2,-1.51,2.67,2.25,2.4,2,2.22,3.2,3.6,3.01,4.17,3.5,4.2,3.96,1.6,1,1,1.6,1.3,4,4,3.5,2.14
